dt,x,y,z,x_vel,y_vel,z_vel,Z_acc,X_acc
0,356.031525,13.183318,135.700714,0.002426,0.083555,-0.022369,9.80452,0.1024
0.01,356.030243,13.18313,135.701065,0.001925,0.080938,-0.021726,9.80463,0.101278
0.02,356.029114,13.182961,135.70137,0.001298,0.079001,-0.020951,9.804773,0.100365
0.03,356.027924,13.182779,135.701675,0.00055,0.077399,-0.020798,9.804945,0.099521
0.04,356.026794,13.182624,135.701981,-0.000166,0.075779,-0.020736,9.80511,0.098704
0.05,356.025513,13.18247,135.702316,-0.000564,0.073471,-0.020651,9.805191,0.097694
0.06,356.024445,13.182314,135.702698,-0.000907,0.071408,-0.020104,9.805258,0.096755
0.07,356.023499,13.182167,135.702942,-0.001296,0.069385,-0.02009,9.805337,0.095858
0.08,356.022308,13.182023,135.703339,-0.001478,0.06746,-0.019681,9.805363,0.094969
0.09,356.021393,13.181885,135.703552,-0.001673,0.065767,-0.019882,9.805393,0.094169
0.1,356.020447,13.181745,135.703918,-0.00182,0.063906,-0.019965,9.805409,0.093311
0.11,356.019379,13.181608,135.704239,-0.001833,0.06166,-0.019827,9.805393,0.092365
0.12,356.018646,13.181478,135.704514,-0.002048,0.059617,-0.019791,9.805428,0.091499
0.13,356.017761,13.181358,135.704834,-0.002062,0.057348,-0.019771,9.805411,0.090562
0.14,356.016968,13.181248,135.705048,-0.001971,0.05554,-0.019358,9.80537,0.089767
0.15,356.016205,13.181129,135.705383,-0.002127,0.05366,-0.019525,9.805389,0.08894
0.16,356.015442,13.18102,135.705658,-0.001956,0.051883,-0.019572,9.805329,0.088165
0.17,356.014618,13.180916,135.705963,-0.001989,0.049568,-0.019774,9.805319,0.087246
0.18,356.013916,13.180816,135.706223,-0.001893,0.047325,-0.019525,9.805277,0.086352
0.19,356.013214,13.180724,135.706558,-0.001657,0.045493,-0.019483,9.805202,0.085563
0.2,356.012634,13.180639,135.706772,-0.001689,0.043713,-0.019454,9.805191,0.084813
0.21,356.012115,13.180562,135.707001,-0.001633,0.042179,-0.019375,9.805161,0.084127
0.22,356.011505,13.180488,135.707321,-0.001419,0.040026,-0.019289,9.805092,0.083281
0.23,356.010956,13.180417,135.707581,-0.001315,0.038267,-0.019375,9.805051,0.082553
0.24,356.010468,13.180348,135.707916,-0.001085,0.036317,-0.019293,9.804978,0.081767
0.25,356.01004,13.180294,135.70813,-0.000885,0.034769,-0.019136,9.804914,0.081081
0.26,356.009583,13.180241,135.708405,-0.000746,0.033339,-0.018937,9.804866,0.080446
0.27,356.009094,13.180197,135.708649,-0.000546,0.031875,-0.01907,9.804802,0.07979
