DT, X, Y, Z
0.017,356.029114,13.182961,135.70137
0.033,356.027924,13.182779,135.701675
0.05,356.026794,13.182624,135.701981
0.067,356.025513,13.18247,135.702316
0.083,356.024445,13.182314,135.702698
0.1,356.023499,13.182167,135.702942
0.116,356.022308,13.182023,135.703339
0.133,356.021393,13.181885,135.703552
0.15,356.020447,13.181745,135.703918
0.166,356.019379,13.181608,135.704239
0.183,356.018646,13.181478,135.704514
0.199,356.017761,13.181358,135.704834
0.216,356.016968,13.181248,135.705048
0.232,356.016205,13.181129,135.705383
0.249,356.015442,13.18102,135.705658
0.266,356.014618,13.180916,135.705963
0.283,356.013916,13.180816,135.706223
0.299,356.013214,13.180724,135.706558
0.315,356.012634,13.180639,135.706772
0.332,356.012115,13.180562,135.707001
0.348,356.011505,13.180488,135.707321
0.365,356.010956,13.180417,135.707581
0.382,356.010468,13.180348,135.707916
0.398,356.01004,13.180294,135.70813
0.415,356.009583,13.180241,135.708405
0.431,356.009094,13.180197,135.708649
0.448,356.008698,13.180157,135.708878
0.465,356.00827,13.18012,135.709213
0.481,356.007965,13.180086,135.709412
0.498,356.007599,13.180057,135.709625
0.514,356.007294,13.180029,135.70993
0.531,356.006958,13.18001,135.710129
0.547,356.006622,13.179989,135.710403
0.564,356.006439,13.17997,135.710602
0.581,356.006226,13.179952,135.710831
0.597,356.005951,13.179935,135.711105
0.614,356.005676,13.179929,135.711304
0.63,356.005463,13.179927,135.711594
0.647,356.005249,13.179918,135.711807
0.663,356.005066,13.17991,135.712112
0.68,356.004974,13.179907,135.712296
0.697,356.004822,13.17991,135.712524
0.713,356.0047,13.179905,135.712738
0.73,356.004639,13.179903,135.712997
0.746,356.004486,13.179907,135.713196
0.763,356.004395,13.179902,135.71347
0.78,356.004272,13.17991,135.713638
0.796,356.00412,13.179912,135.713867
0.813,356.003967,13.179918,135.714096
0.829,356.003815,13.179919,135.714371
0.846,356.003693,13.17992,135.714523
0.862,356.003662,13.17993,135.714798
0.879,356.003479,13.179935,135.714996
0.896,356.003387,13.179949,135.715256
0.912,356.003296,13.179963,135.715485
0.929,356.003204,13.17998,135.715775
0.945,356.003143,13.179996,135.716019
0.962,356.003082,13.180003,135.716248
0.979,356.00293,13.180025,135.716476
0.995,356.002869,13.180043,135.716736
1.012,356.002777,13.180056,135.716965
1.028,356.002777,13.180072,135.717194
1.045,356.002655,13.180091,135.717407
1.061,356.002502,13.180107,135.717651
1.078,356.002441,13.180118,135.717865
1.095,356.00238,13.180137,135.718094
1.112,356.002319,13.180154,135.718353
1.128,356.002197,13.180171,135.718582
1.144,356.002045,13.180193,135.718765
1.161,356.001984,13.180209,135.718994
1.177,356.001923,13.180227,135.719284
1.194,356.001862,13.180244,135.719482
1.211,356.00174,13.180264,135.719788
1.227,356.001678,13.180274,135.720032
1.244,356.001648,13.180291,135.720245
1.26,356.001556,13.180316,135.720459
1.277,356.001465,13.180328,135.720703
1.294,356.001251,13.180345,135.720947
1.31,356.00119,13.18036,135.721207
1.327,356.001129,13.180375,135.721405
1.343,356.000977,13.180387,135.721634
1.36,356.000732,13.180391,135.721863
1.376,356.00058,13.180408,135.722092
1.393,356.000427,13.180413,135.72229
1.41,356.000275,13.18042,135.722519
1.426,356.000122,13.180425,135.722794
1.443,356,13.180428,135.722977
1.459,355.999878,13.180427,135.723206
1.476,355.999786,13.18043,135.72348
1.493,355.999725,13.180428,135.723724
1.509,355.999542,13.180422,135.723923
1.526,355.999359,13.180422,135.724152
1.542,355.999115,13.180417,135.724396
1.559,355.998779,13.180373,135.72467
1.575,355.997864,13.180131,135.724976
1.592,355.996582,13.179609,135.725327
1.609,355.994476,13.179063,135.725845
1.625,355.990997,13.178429,135.726501
1.642,355.987122,13.177612,135.727173
1.658,355.981628,13.176518,135.727982
1.675,355.975494,13.175559,135.72876
1.691,355.967712,13.174648,135.729874
1.708,355.95932,13.174093,135.730911
1.725,355.949158,13.173407,135.732208
1.741,355.937714,13.172491,135.733627
1.758,355.926086,13.1714,135.734879
1.774,355.912506,13.170224,135.736389
1.791,355.898499,13.169141,135.737869
1.807,355.88266,13.168097,135.739731
1.824,355.86673,13.167323,135.741562
1.841,355.848663,13.166195,135.743713
1.857,355.829437,13.164974,135.745956
1.874,355.810486,13.163814,135.748093
1.89,355.788971,13.162759,135.750641
1.907,355.768036,13.161404,135.753082
1.924,355.744904,13.159781,135.755814
1.94,355.720673,13.157972,135.758774
1.957,355.69693,13.156409,135.761627
1.973,355.670807,13.154602,135.76474
1.99,355.645264,13.152736,135.767883
2.006,355.61731,13.150854,135.771317
2.023,355.589996,13.149218,135.77478
2.04,355.560181,13.147317,135.778427
2.056,355.529358,13.145164,135.782303
2.073,355.499664,13.143469,135.786087
2.089,355.467163,13.141512,135.790268
2.106,355.435577,13.139644,135.794388
2.123,355.401428,13.137795,135.798935
2.139,355.36618,13.13594,135.803436
2.156,355.332245,13.133958,135.807938
2.172,355.295471,13.132071,135.812912
2.189,355.259888,13.130292,135.817703
2.205,355.221161,13.128316,135.823013
2.222,355.184113,13.126699,135.828201
2.239,355.143646,13.124893,135.833725
2.255,355.102448,13.122955,135.839447
2.272,355.062927,13.121349,135.845078
2.288,355.02005,13.119391,135.851212
2.305,354.978973,13.117761,135.857162
2.321,354.934235,13.115994,135.863663
2.338,354.89151,13.114196,135.869873
2.355,354.845093,13.112387,135.876724
2.371,354.798126,13.110373,135.883713
2.388,354.753174,13.108656,135.890503
2.404,354.703186,13.106921,135.898102
2.421,354.654297,13.105433,135.90564
2.438,354.601837,13.103583,135.913757
2.454,354.547821,13.101569,135.922134
2.471,354.49646,13.099513,135.930191
2.487,354.441986,13.097416,135.938889
2.504,354.390778,13.095732,135.947159
2.52,354.336792,13.094045,135.95607
2.537,354.286591,13.092529,135.96463
2.554,354.233765,13.090789,135.973618
2.57,354.181244,13.089111,135.982712
2.587,354.132507,13.087551,135.991379
2.603,354.081543,13.085958,136.00061
2.62,354.033844,13.084668,136.009308
2.637,353.983948,13.083374,136.01857
2.653,353.934723,13.082196,136.027924
2.67,353.888977,13.081153,136.036713
2.686,353.841125,13.08018,136.046097
2.703,353.796539,13.079551,136.054993
2.72,353.749847,13.079076,136.064255
2.736,353.703827,13.078721,136.073608
2.753,353.660797,13.078524,136.082504
2.769,353.61261,13.078649,136.092438
2.786,353.56662,13.079115,136.10199
2.802,353.516876,13.079604,136.112427
2.819,353.468201,13.080087,136.122589
2.836,353.41507,13.080802,136.133652
2.852,353.360474,13.081976,136.145035
2.869,353.307709,13.083302,136.156097
2.886,353.250183,13.084916,136.168106
2.902,353.191376,13.087096,136.180649
2.918,353.134613,13.0894,136.192612
2.935,353.076965,13.091817,136.204498
2.952,353.013916,13.094737,136.217377
2.968,352.949646,13.097721,136.23056
2.985,352.887848,13.100312,136.243347
3.001,352.821075,13.102895,136.257263
3.018,352.757263,13.105087,136.270401
3.034,352.687866,13.107093,136.284439
3.051,352.621582,13.1087,136.297852
3.068,352.550262,13.110291,136.312057
3.084,352.477692,13.111486,136.326431
3.101,352.408966,13.112268,136.339996
3.117,352.334747,13.113099,136.35434
3.134,352.264343,13.113544,136.367874
3.15,352.188934,13.113856,136.382263
3.167,352.117371,13.114433,136.395767
3.184,352.040924,13.115088,136.409775
3.2,351.963715,13.11587,136.423691
3.217,351.891113,13.116884,136.437225
3.233,351.813385,13.11794,136.451736
3.25,351.739807,13.119148,136.465134
3.267,351.661713,13.12077,136.479095
3.283,351.58316,13.122677,136.492828
3.3,351.509155,13.126572,136.505325
3.316,351.43042,13.131736,136.518326
3.333,351.35611,13.136505,136.530502
3.349,351.277039,13.14107,136.543579
3.366,351.202606,13.145077,136.556
3.383,351.123169,13.150455,136.568893
3.399,351.043671,13.155462,136.58168
3.416,350.969086,13.159198,136.593628
3.432,350.889557,13.163887,136.606155
3.449,350.814606,13.168522,136.617676
3.465,350.73526,13.172525,136.63002
3.482,350.660645,13.175203,136.641449
3.499,350.58136,13.177119,136.653366
3.515,350.502014,13.18,136.665451
3.532,350.427368,13.184069,136.676392
3.548,350.348206,13.187657,136.687653
3.565,350.273956,13.191404,136.697495
3.582,350.195526,13.196641,136.708618
3.598,350.117401,13.201578,136.719315
3.615,350.044098,13.205817,136.7285
3.631,349.966675,13.209215,136.738159
3.648,349.894104,13.213246,136.747192
3.664,349.817108,13.217313,136.756119
3.681,349.744965,13.220553,136.764099
3.698,349.668671,13.223686,136.772629
3.714,349.592499,13.227879,136.780472
3.731,349.521027,13.232072,136.787125
3.747,349.445404,13.23594,136.794342
3.764,349.374268,13.239506,136.801163
3.781,349.298798,13.244392,136.807526
3.797,349.223511,13.248442,136.81369
3.814,349.152954,13.252198,136.819183
3.83,349.077789,13.256797,136.824295
3.847,349.007446,13.261537,136.828629
3.864,348.932983,13.267075,136.833847
3.88,348.858856,13.27384,136.838791
3.897,348.788788,13.280354,136.842514
3.913,348.714172,13.286578,136.846436
3.93,348.643555,13.291842,136.850372
3.946,348.56781,13.296849,136.853989
3.963,348.496033,13.300131,136.857285
3.98,348.418793,13.303074,136.861221
3.996,348.340485,13.305632,136.864731
4.013,348.265991,13.307012,136.867264
4.029,348.186066,13.308456,136.870728
4.046,348.109436,13.309953,136.873917
4.062,348.027649,13.310441,136.876816
4.079,347.949585,13.311371,136.879883
4.096,347.866425,13.315053,136.882523
4.112,347.779236,13.322173,136.884476
4.129,347.695251,13.329932,136.887283
4.145,347.60553,13.337899,136.889435
4.162,347.518921,13.344186,136.890991
4.178,347.425018,13.349934,136.892868
4.195,347.336731,13.353661,136.894257
4.212,347.243042,13.356319,136.895386
4.228,347.148163,13.358725,136.896515
4.245,347.060028,13.360593,136.897736
4.261,346.966705,13.36346,136.898056
4.278,346.87912,13.366688,136.898438
4.295,346.786469,13.369633,136.898804
4.311,346.694763,13.37359,136.898346
4.328,346.608826,13.377151,136.898193
4.344,346.518005,13.380824,136.897675
4.361,346.433319,13.385252,136.896683
4.378,346.343872,13.389425,136.895981
4.394,346.25473,13.393222,136.895035
4.411,346.171295,13.397094,136.893463
4.427,346.083405,13.401023,136.892517
4.444,346.000916,13.404364,136.891327
4.46,345.912994,13.408183,136.88942
4.477,345.827698,13.411942,136.888184
4.494,345.735657,13.415588,136.886642
4.51,345.642365,13.419184,136.885208
4.527,345.552002,13.422915,136.883698
4.543,345.454224,13.427893,136.882248
4.56,345.360718,13.431767,136.881042
